Station Name,Filename,Timestamp,Duration (s)
NPR,NPR20250310_0215061.mp3,20250310_021506,63
Classic_FM,Classic_FM20250310_0216072.mp3,20250310_021607,75
NPR,NPR20250310_0216373.mp3,20250310_021637,66
Classic_FM,Classic_FM20250310_0217414.mp3,20250310_021741,66
NPR,NPR20250310_0218355.mp3,20250310_021835,66
Classic_FM,Classic_FM20250310_0219396.mp3,20250310_021939,68
NPR,NPR20250310_0220357.mp3,20250310_022035,53
Classic_FM,Classic_FM20250310_0221268.mp3,20250310_022126,48
NPR,NPR20250310_0222029.mp3,20250310_022202,48
Classic_FM,Classic_FM20250310_02224810.mp3,20250310_022248,38
NPR,NPR20250310_02231311.mp3,20250310_022313,73
Classic_FM,Classic_FM20250310_02234512.mp3,20250310_022345,49
NPR,NPR20250310_02242213.mp3,20250310_022422,43
Classic_FM,Classic_FM20250310_02250314.mp3,20250310_022503,45
NPR,NPR20250310_02253615.mp3,20250310_022536,52
Classic_FM,Classic_FM20250310_02262616.mp3,20250310_022626,79
NPR,NPR20250310_02273417.mp3,20250310_022734,52
Classic_FM,Classic_FM20250310_02282518.mp3,20250310_022825,64
NPR,NPR20250310_02291719.mp3,20250310_022917,84
Classic_FM,Classic_FM20250310_02304020.mp3,20250310_023040,73
NPR,NPR20250310_02314121.mp3,20250310_023141,56
Classic_FM,Classic_FM20250310_02323522.mp3,20250310_023235,79
NPR,NPR20250310_02334223.mp3,20250310_023342,83
Classic_FM,Classic_FM20250310_02350324.mp3,20250310_023503,86
NPR,NPR20250310_02361725.mp3,20250310_023617,87
Classic_FM,Classic_FM20250310_02374426.mp3,20250310_023744,32
NPR,NPR20250310_02380427.mp3,20250310_023804,55
Classic_FM,Classic_FM20250310_02385728.mp3,20250310_023857,89
NPR,NPR20250310_02401529.mp3,20250310_024015,52
Classic_FM,Classic_FM20250310_02410530.mp3,20250310_024105,55
