SUBDIVISION,MISSING_YEARS
Andaman & Nicobar Islands,"[1909, 1943, 1944, 1945, 1948]"
Arunachal Pradesh,"[1901, 1902, 1903, 1904, 1905, 1906, 1907, 1908, 1909, 1910, 1911, 1912, 1913, 1914, 1915, 1954, 1955, 1956]"
Assam & Meghalaya,[]
Bihar,[]
Chhattisgarh,[]
Coastal Andhra Pradesh,[]
Coastal Karnataka,[]
East Madhya Pradesh,[]
East Rajasthan,[]
East Uttar Pradesh,[]
Gangetic West Bengal,[]
Gujarat Region,[]
Haryana Delhi & Chandigarh,[]
Himachal Pradesh,[]
Jammu & Kashmir,[]
Jharkhand,[]
Kerala,[]
Konkan & Goa,[]
Lakshadweep,[1918]
Madhya Maharashtra,[]
Matathwada,[]
Naga Mani Mizo Tripura,[]
North Interior Karnataka,[]
Orissa,[]
Punjab,[]
Rayalseema,[]
Saurashtra & Kutch,[]
South Interior Karnataka,[]
Sub Himalayan West Bengal & Sikkim,[]
Tamil Nadu,[]
Telangana,[]
Uttarakhand,[]
Vidarbha,[]
West Madhya Pradesh,[]
West Rajasthan,[]
West Uttar Pradesh,[]
